Freq_Hz,Accel_g,Accel_main
15.504,6.93E-08,5.06E-07
15.514,1.11E-08,8.09E-08
15.523,1.23E-07,8.98E-07
15.532,1.03E-08,7.49E-08
15.542,4.47E-08,3.26E-07
15.551,6.00E-08,4.38E-07
15.561,1.69E-08,1.24E-07
15.57,1.82E-07,1.33E-06
15.579,3.93E-08,2.87E-07
15.589,6.83E-08,4.99E-07
15.598,4.16E-08,3.04E-07
15.608,9.69E-09,7.07E-08
15.617,2.62E-08,1.91E-07
15.626,4.05E-08,2.95E-07
15.636,7.33E-08,5.35E-07
15.645,1.00E-07,7.29E-07
15.654,1.24E-07,9.02E-07
15.664,6.02E-08,4.40E-07
15.673,3.46E-08,2.53E-07
15.683,1.53E-07,1.12E-06
15.692,6.44E-08,4.70E-07
15.701,1.54E-07,1.13E-06
15.711,8.53E-08,6.23E-07
15.72,4.81E-08,3.51E-07
15.73,6.87E-08,5.02E-07
15.739,7.37E-08,5.38E-07
15.748,1.78E-07,1.30E-06
15.758,8.68E-08,6.33E-07
15.767,2.41E-08,1.76E-07
15.777,3.89E-08,2.84E-07
15.786,1.60E-07,1.17E-06
15.795,4.53E-08,3.30E-07
15.805,2.40E-08,1.75E-07
15.814,7.65E-08,5.58E-07
15.823,9.31E-08,6.79E-07
15.833,5.35E-08,3.91E-07
15.842,1.20E-07,8.79E-07
15.852,2.85E-08,2.08E-07
15.861,2.26E-08,1.65E-07
15.87,1.05E-07,7.67E-07
15.88,3.23E-08,2.36E-07
15.889,3.24E-08,2.37E-07
15.899,8.69E-08,6.34E-07
15.908,1.03E-07,7.49E-07
15.917,9.56E-09,6.98E-08
15.927,6.56E-08,4.79E-07
15.936,7.22E-08,5.27E-07
15.946,2.68E-08,1.96E-07
15.955,1.43E-07,1.04E-06
15.964,1.13E-07,8.23E-07
15.974,5.42E-08,3.96E-07
15.983,6.88E-08,5.02E-07
15.993,2.12E-08,1.54E-07
16.002,1.64E-07,1.20E-06
16.011,3.58E-08,2.61E-07
16.021,7.94E-08,5.79E-07
16.03,5.14E-08,3.75E-07
16.039,6.64E-08,4.84E-07
16.049,4.18E-08,3.05E-07
16.058,2.23E-08,1.62E-07
16.068,2.49E-09,1.82E-08
16.077,2.67E-08,1.95E-07
16.086,6.36E-08,4.64E-07
16.096,1.94E-08,1.41E-07
16.105,4.58E-08,3.34E-07
16.115,4.88E-08,3.56E-07
16.124,6.28E-08,4.58E-07
16.133,3.71E-08,2.71E-07
