freq,xdft,psdx
12.379,1.14E-07,1.22E-06
12.383,7.17E-08,7.66E-07
12.387,1.66E-07,1.77E-06
12.392,9.18E-08,9.80E-07
12.396,3.34E-08,3.56E-07
12.401,9.86E-08,1.05E-06
12.405,5.40E-08,5.77E-07
12.409,1.05E-07,1.12E-06
12.414,4.64E-08,4.95E-07
12.418,1.06E-07,1.13E-06
12.423,1.11E-07,1.18E-06
12.427,4.52E-08,4.82E-07
12.431,6.53E-08,6.97E-07
12.436,1.10E-07,1.17E-06
12.44,7.17E-08,7.66E-07
12.444,1.47E-07,1.57E-06
12.449,2.09E-08,2.23E-07
12.453,7.09E-08,7.57E-07
12.458,1.11E-07,1.18E-06
12.462,7.06E-08,7.54E-07
12.466,8.77E-08,9.37E-07
12.471,1.72E-08,1.83E-07
12.475,1.12E-07,1.20E-06
12.48,6.44E-08,6.88E-07
12.484,1.29E-07,1.38E-06
12.488,2.40E-08,2.56E-07
12.493,3.50E-08,3.74E-07
12.497,6.67E-08,7.12E-07
12.502,6.82E-08,7.29E-07
12.506,3.27E-08,3.49E-07
12.51,7.38E-08,7.87E-07
12.515,7.71E-08,8.23E-07
12.519,6.15E-08,6.56E-07
12.523,5.37E-08,5.73E-07
12.528,6.57E-08,7.01E-07
12.532,3.46E-08,3.70E-07
12.537,1.14E-07,1.21E-06
12.541,6.80E-08,7.26E-07
12.545,1.08E-07,1.15E-06
12.55,5.13E-08,5.48E-07
12.554,1.01E-07,1.08E-06
12.559,1.13E-07,1.21E-06
12.563,5.12E-08,5.46E-07
12.567,3.44E-08,3.67E-07
12.572,8.68E-08,9.27E-07
12.576,8.71E-08,9.30E-07
12.58,5.69E-08,6.08E-07
12.585,4.39E-08,4.68E-07
12.589,4.17E-08,4.45E-07
12.594,1.03E-07,1.10E-06
12.598,4.09E-08,4.37E-07
12.602,3.79E-08,4.05E-07
12.607,3.85E-08,4.11E-07
12.611,4.06E-08,4.34E-07
12.616,1.23E-07,1.31E-06
12.62,5.24E-08,5.59E-07
12.624,9.10E-08,9.72E-07
12.629,1.25E-07,1.33E-06
12.633,7.85E-08,8.38E-07
12.637,1.21E-07,1.29E-06
12.642,3.41E-08,3.64E-07
12.646,5.09E-08,5.44E-07
12.651,4.39E-08,4.69E-07
12.655,9.69E-08,1.03E-06
12.659,4.05E-08,4.32E-07
12.664,7.27E-08,7.76E-07
12.668,6.77E-08,7.22E-07
12.673,7.95E-08,8.49E-07
12.677,1.97E-08,2.10E-07
12.681,2.12E-08,2.26E-07
12.686,7.18E-08,7.67E-07
12.69,8.40E-08,8.97E-07
12.695,6.50E-08,6.94E-07
12.699,5.57E-08,5.94E-07
12.703,5.15E-08,5.50E-07
12.708,8.76E-08,9.36E-07
12.712,5.14E-08,5.48E-07
12.716,1.01E-08,1.07E-07
12.721,3.62E-08,3.87E-07
12.725,1.03E-07,1.10E-06
12.73,6.60E-08,7.05E-07
12.734,3.80E-08,4.06E-07
12.738,6.36E-08,6.79E-07
12.743,9.02E-08,9.63E-07
12.747,1.07E-07,1.14E-06
12.752,5.55E-08,5.92E-07
12.756,3.92E-08,4.18E-07
12.76,3.00E-08,3.20E-07
12.765,1.08E-07,1.15E-06
12.769,2.83E-08,3.02E-07
12.773,5.80E-08,6.19E-07
12.778,5.57E-08,5.94E-07
12.782,9.32E-08,9.95E-07
12.787,1.05E-07,1.12E-06
12.791,3.73E-08,3.98E-07
12.795,7.45E-08,7.95E-07
12.8,3.64E-08,3.88E-07
12.804,1.01E-07,1.08E-06
12.809,7.13E-08,7.62E-07
12.813,5.31E-08,5.67E-07
12.817,6.43E-08,6.87E-07
12.822,3.73E-08,3.98E-07
12.826,9.29E-08,9.91E-07
12.83,3.01E-08,3.21E-07
12.835,1.04E-07,1.11E-06
12.839,4.45E-08,4.75E-07
12.844,5.82E-08,6.21E-07
12.848,7.59E-08,8.11E-07
12.852,2.19E-08,2.34E-07
12.857,4.70E-08,5.01E-07
12.861,3.79E-08,4.05E-07
12.866,8.78E-08,9.38E-07
12.87,4.59E-08,4.90E-07
12.874,2.98E-08,3.18E-07
12.879,1.13E-07,1.20E-06
12.883,9.20E-08,9.82E-07
12.888,8.19E-08,8.75E-07
12.892,5.11E-08,5.46E-07
12.896,8.11E-08,8.66E-07
12.901,9.97E-08,1.06E-06
12.905,4.50E-08,4.81E-07
12.909,3.30E-08,3.53E-07
12.914,4.64E-08,4.96E-07
12.918,1.05E-07,1.12E-06
12.923,9.38E-08,1.00E-06
12.927,8.30E-08,8.86E-07
12.931,2.47E-08,2.64E-07
12.936,1.30E-07,1.39E-06
12.94,3.23E-08,3.45E-07
12.945,6.11E-08,6.52E-07
12.949,1.94E-08,2.07E-07
12.953,5.14E-08,5.49E-07
12.958,1.03E-07,1.10E-06
12.962,9.79E-08,1.05E-06
12.966,3.40E-08,3.63E-07
12.971,2.68E-08,2.86E-07
12.975,9.72E-08,1.04E-06
12.98,9.41E-08,1.00E-06
12.984,4.15E-08,4.43E-07
12.988,4.03E-08,4.30E-07
12.993,4.69E-08,5.01E-07
12.997,1.14E-07,1.21E-06
13.002,6.52E-08,6.96E-07
13.006,7.90E-08,8.44E-07
13.01,5.77E-08,6.16E-07
13.015,1.58E-07,1.68E-06
13.019,1.02E-07,1.09E-06
13.023,1.01E-07,1.07E-06
13.028,7.07E-08,7.54E-07
13.032,5.13E-08,5.48E-07
13.037,1.17E-07,1.25E-06
13.041,1.61E-08,1.72E-07
13.045,6.40E-08,6.83E-07
13.05,4.49E-08,4.79E-07
13.054,1.22E-07,1.30E-06
13.059,2.39E-08,2.56E-07
13.063,2.21E-08,2.36E-07
13.067,7.68E-08,8.20E-07
13.072,6.78E-08,7.24E-07
13.076,1.04E-07,1.11E-06
13.081,1.51E-08,1.61E-07
13.085,4.41E-08,4.71E-07
13.089,8.55E-08,9.12E-07
13.094,4.43E-08,4.73E-07
13.098,3.85E-08,4.11E-07
13.102,5.34E-08,5.70E-07
13.107,9.03E-08,9.64E-07
13.111,9.46E-08,1.01E-06
13.116,1.14E-07,1.22E-06
13.12,5.39E-08,5.75E-07
13.124,6.06E-08,6.47E-07
13.129,6.63E-08,7.08E-07
13.133,1.02E-07,1.09E-06
13.138,4.45E-08,4.75E-07
13.142,6.81E-08,7.27E-07
13.146,1.09E-07,1.16E-06
13.151,9.91E-08,1.06E-06
13.155,7.02E-08,7.49E-07
13.159,3.92E-08,4.18E-07
13.164,4.47E-08,4.77E-07
13.168,8.88E-08,9.48E-07
13.173,9.14E-08,9.76E-07
13.177,7.89E-08,8.42E-07
13.181,7.53E-08,8.04E-07
13.186,9.73E-08,1.04E-06
13.19,1.08E-07,1.15E-06
13.195,7.71E-08,8.23E-07
13.199,7.05E-08,7.52E-07
13.203,1.07E-07,1.14E-06
13.208,1.20E-07,1.28E-06
13.212,6.65E-08,7.10E-07
13.216,7.48E-08,7.98E-07
13.221,5.68E-08,6.07E-07
13.225,1.09E-07,1.16E-06
13.23,6.69E-08,7.14E-07
13.234,2.93E-08,3.13E-07
13.238,5.45E-08,5.82E-07
13.243,8.40E-08,8.97E-07
13.247,9.79E-08,1.05E-06
13.252,2.33E-08,2.49E-07
13.256,5.96E-08,6.37E-07
13.26,4.85E-08,5.18E-07
13.265,1.26E-07,1.34E-06
13.269,8.12E-08,8.67E-07
13.274,1.37E-08,1.46E-07
13.278,9.80E-08,1.05E-06
13.282,6.30E-08,6.73E-07
13.287,1.15E-07,1.22E-06
13.291,9.86E-09,1.05E-07
13.295,7.82E-08,8.35E-07
13.3,4.51E-08,4.81E-07
13.304,6.74E-08,7.20E-07
13.309,6.93E-08,7.40E-07
13.313,8.16E-09,8.71E-08
13.317,6.90E-08,7.37E-07
13.322,7.26E-08,7.75E-07
13.326,7.58E-08,8.10E-07
13.331,4.99E-08,5.33E-07
13.335,7.02E-08,7.49E-07
13.339,5.16E-08,5.51E-07
13.344,2.54E-08,2.72E-07
13.348,4.67E-08,4.98E-07
13.352,5.52E-08,5.90E-07
13.357,7.81E-08,8.34E-07
13.361,1.17E-07,1.24E-06
13.366,7.14E-08,7.62E-07
13.37,8.57E-08,9.15E-07
13.374,6.74E-08,7.20E-07
13.379,1.50E-07,1.60E-06
13.383,6.20E-08,6.62E-07
13.388,6.34E-08,6.76E-07
13.392,3.54E-08,3.78E-07
13.396,1.25E-07,1.33E-06
13.401,1.50E-07,1.60E-06
13.405,1.02E-07,1.09E-06
13.41,4.84E-08,5.16E-07
13.414,3.22E-08,3.44E-07
13.418,1.09E-07,1.17E-06
13.423,8.52E-08,9.09E-07
13.427,3.68E-08,3.93E-07
13.431,7.46E-08,7.97E-07
13.436,3.70E-08,3.95E-07
13.44,9.93E-08,1.06E-06
13.445,6.24E-08,6.66E-07
13.449,1.30E-07,1.39E-06
13.453,3.91E-08,4.17E-07
13.458,6.67E-08,7.13E-07
13.462,6.23E-08,6.65E-07
